bill_id,customer_id,bill_date,base_fee,overuse_charges,total_amount,paid,days_to_pay
BIL00000,CUS0300,2023-09-30,0,85.82,85.82,1,26.0
BIL00001,CUS0014,2023-11-29,199,23.62,222.62,1,4.0
BIL00002,CUS0266,2023-11-08,50,14.11,64.11,1,24.0
BIL00003,CUS0052,2023-06-16,0,9.68,9.68,1,22.0
BIL00004,CUS0082,2023-05-14,50,11.11,61.11,1,21.0
BIL00005,CUS0185,2023-12-27,499,68.89,567.89,1,15.0
BIL00006,CUS0490,2023-02-17,499,15.76,514.76,1,2.0
BIL00007,CUS0357,2023-12-07,199,78.69,277.69,1,5.0
BIL00008,CUS0311,2023-03-31,199,51.77,250.77,1,9.0
BIL00009,CUS0125,2023-08-06,499,42.36,541.36,1,12.0
BIL00010,CUS0078,2023-09-15,199,27.45,226.45,1,21.0
BIL00011,CUS0392,2023-06-04,199,52.35,251.35,1,9.0
BIL00012,CUS0397,2023-12-02,50,52.62,102.62,1,17.0
BIL00013,CUS0255,2023-11-19,199,59.46,258.46,1,18.0
BIL00014,CUS0499,2023-06-15,499,46.16,545.16,1,7.0
BIL00015,CUS0330,2023-07-28,0,62.23,62.23,1,29.0
BIL00016,CUS0439,2023-01-31,199,78.97,277.97,1,6.0
BIL00017,CUS0121,2023-12-11,50,90.79,140.79,1,23.0
BIL00018,CUS0080,2023-03-26,199,50.24,249.24,1,26.0
BIL00019,CUS0443,2023-03-31,50,17.58,67.58,1,12.0
BIL00020,CUS0280,2023-10-23,499,56.52,555.52,1,30.0
BIL00021,CUS0255,2023-03-14,199,55.37,254.37,1,15.0
BIL00022,CUS0156,2023-12-24,499,18.53,517.53,1,25.0
BIL00023,CUS0498,2023-09-30,50,32.03,82.03,1,8.0
BIL00024,CUS0150,2023-05-20,0,54.46,54.46,1,2.0
BIL00025,CUS0152,2023-04-19,199,22.53,221.53,1,15.0
BIL00026,CUS0308,2023-10-27,0,11.23,11.23,0,
BIL00027,CUS0489,2023-05-24,799,11.84,810.84,1,16.0
BIL00028,CUS0452,2023-12-20,50,29.24,79.24,0,
BIL00029,CUS0350,2023-06-07,50,31.57,81.57,1,9.0
BIL00030,CUS0354,2023-11-11,50,10.49,60.49,1,27.0
BIL00031,CUS0375,2023-01-10,799,42.23,841.23,1,7.0
BIL00032,CUS0418,2023-06-02,799,4.24,803.24,1,29.0
BIL00033,CUS0095,2023-08-15,799,32.1,831.1,1,9.0
BIL00034,CUS0453,2023-02-15,199,54.37,253.37,1,12.0
BIL00035,CUS0050,2023-12-12,0,36.69,36.69,1,23.0
BIL00036,CUS0485,2023-07-15,0,21.63,21.63,1,12.0
BIL00037,CUS0441,2023-12-26,50,33.04,83.04,1,14.0
BIL00038,CUS0005,2023-11-09,799,11.18,810.18,1,14.0
BIL00039,CUS0201,2023-02-07,799,11.53,810.53,1,18.0
BIL00040,CUS0166,2023-10-03,0,4.06,4.06,1,3.0
BIL00041,CUS0473,2023-02-18,50,21.81,71.81,0,
BIL00042,CUS0420,2023-12-23,0,23.92,23.92,1,20.0
BIL00043,CUS0014,2023-04-24,199,89.48,288.48,1,22.0
BIL00044,CUS0390,2023-01-19,499,11.64,510.64,1,30.0
BIL00045,CUS0214,2023-08-01,799,81.72,880.72,1,8.0
BIL00046,CUS0120,2023-05-13,199,34.35,233.35,1,7.0
BIL00047,CUS0201,2023-01-18,799,29.18,828.18,1,19.0
BIL00048,CUS0079,2023-09-22,50,23.67,73.67,1,27.0
BIL00049,CUS0055,2023-04-14,799,37.63,836.63,1,21.0
BIL00050,CUS0454,2023-09-23,499,111.63,610.63,1,29.0
BIL00051,CUS0214,2023-11-03,799,22.85,821.85,1,14.0
BIL00052,CUS0229,2023-09-15,199,24.78,223.78,1,30.0
BIL00053,CUS0205,2023-11-09,199,51.95,250.95,1,3.0
BIL00054,CUS0494,2023-12-29,799,41.86,840.86,0,
BIL00055,CUS0330,2023-05-20,0,34.37,34.37,0,
BIL00056,CUS0257,2023-09-05,799,4.07,803.07,1,26.0
BIL00057,CUS0046,2023-09-13,199,24.21,223.21,1,11.0
BIL00058,CUS0267,2023-05-07,499,13.15,512.15,1,1.0
BIL00059,CUS0025,2023-10-29,499,41.92,540.92,1,25.0
BIL00060,CUS0366,2023-12-16,499,0.47,499.47,1,1.0
BIL00061,CUS0259,2023-08-16,50,56.97,106.97,1,9.0
BIL00062,CUS0032,2023-06-26,50,29.53,79.53,1,25.0
BIL00063,CUS0460,2023-06-16,0,58.35,58.35,0,
BIL00064,CUS0413,2023-05-21,0,13.19,13.19,1,25.0
BIL00065,CUS0285,2023-07-15,50,16.84,66.84,1,30.0
BIL00066,CUS0176,2023-01-08,799,106.12,905.12,1,18.0
BIL00067,CUS0320,2023-03-12,50,35.74,85.74,1,3.0
BIL00068,CUS0036,2023-07-18,0,27.59,27.59,1,29.0
