usage_id,customer_id,date,data_used_gb,calls_minutes,sms_sent,roaming,network_type
USG00000,CUS0302,2023-05-09,3.98,2,30,0,4G
USG00001,CUS0486,2023-08-16,6.82,102,30,1,4G
USG00002,CUS0078,2023-09-07,6.0,44,50,0,4G
USG00003,CUS0410,2023-01-19,1.8,7,26,1,5G
USG00004,CUS0419,2023-11-27,7.01,134,25,0,3G
USG00005,CUS0432,2023-09-01,1.11,93,32,0,3G
USG00006,CUS0202,2023-04-28,2.35,31,63,0,5G
USG00007,CUS0265,2023-02-08,60.31,4976,70,0,5G
USG00008,CUS0111,2023-06-09,17.91,412,21,0,5G
USG00009,CUS0320,2023-01-23,2.78,122,21,0,4G
USG00010,CUS0373,2023-08-28,4.51,214,3,0,3G
USG00011,CUS0199,2023-07-01,7.07,26,16,0,4G
USG00012,CUS0297,2023-09-05,57.59,5087,65,0,4G
USG00013,CUS0128,2023-08-24,1.14,110,26,0,5G
USG00014,CUS0024,2023-11-20,61.14,4954,4,0,4G
USG00015,CUS0140,2023-07-16,3.01,52,74,0,5G
USG00016,CUS0135,2023-07-02,18.54,468,68,0,5G
USG00017,CUS0300,2023-03-13,1.07,36,35,0,4G
USG00018,CUS0469,2023-10-15,0.34,11,1,0,4G
USG00019,CUS0447,2023-04-13,19.0,494,53,0,5G
USG00020,CUS0325,2023-02-20,59.26,4885,28,0,4G
USG00021,CUS0407,2023-05-02,5.2,36,12,0,4G
USG00022,CUS0349,2023-02-06,57.61,4936,23,0,4G
USG00023,CUS0379,2023-07-05,1.76,119,24,0,4G
USG00024,CUS0180,2023-10-09,60.22,5085,60,0,4G
USG00025,CUS0031,2023-12-27,5.57,169,44,0,4G
USG00026,CUS0453,2023-09-04,5.61,43,43,0,4G
USG00027,CUS0415,2023-05-01,3.59,84,11,0,4G
USG00028,CUS0070,2023-04-16,5.61,114,24,1,3G
USG00029,CUS0208,2023-08-17,62.59,5091,43,0,4G
USG00030,CUS0476,2023-03-28,19.1,540,29,0,4G
USG00031,CUS0155,2023-06-07,17.85,459,28,0,5G
USG00032,CUS0283,2023-12-04,5.12,82,23,0,4G
USG00033,CUS0038,2023-04-08,0.34,21,37,0,4G
USG00034,CUS0300,2023-04-02,1.38,56,39,0,4G
USG00035,CUS0240,2023-07-02,16.86,585,33,0,3G
USG00036,CUS0370,2023-02-04,21.44,472,24,0,4G
USG00037,CUS0461,2023-03-31,2.4,123,41,0,4G
USG00038,CUS0280,2023-01-12,15.53,510,30,0,4G
USG00039,CUS0122,2023-12-27,0.94,21,64,1,4G
USG00040,CUS0205,2023-08-18,5.22,99,42,0,5G
USG00041,CUS0145,2023-09-14,60.26,4994,45,0,4G
USG00042,CUS0124,2023-01-30,2.78,81,49,0,5G
USG00043,CUS0025,2023-02-10,18.57,462,22,1,5G
USG00044,CUS0175,2023-03-11,0.44,42,8,1,4G
USG00045,CUS0275,2023-11-25,1.86,65,3,0,4G
USG00046,CUS0473,2023-01-15,2.1,82,15,0,4G
USG00047,CUS0445,2023-01-14,6.99,118,7,0,3G
